sample_index,obs_tenure_days,obs_recency_days,obs_total_invoices,obs_total_line_items,obs_total_quantity,obs_unique_products,obs_unique_purchase_days,obs_total_revenue,obs_average_invoice_value,obs_average_line_revenue,obs_average_unit_price,obs_purchase_frequency_per_month,obs_products_per_invoice,obs_quantity_per_invoice,obs_avg_days_between_purchases,obs_r_score,obs_f_score,obs_m_score,obs_rfm_total_score,country:Australia,country:Austria,country:Bahrain,country:Belgium,country:Brazil,country:Canada,country:Channel Islands,country:Cyprus,country:Czech Republic,country:Denmark,country:EIRE,country:European Community,country:Finland,country:France,country:Germany,country:Greece,country:Iceland,country:Israel,country:Italy,country:Japan,country:Korea,country:Lebanon,country:Malta,country:Netherlands,country:Norway,country:Poland,country:Portugal,country:RSA,country:Saudi Arabia,country:Spain,country:Sweden,country:Switzerland,country:Thailand,country:USA,country:United Arab Emirates,country:United Kingdom,country:Unspecified,country:West Indies
842,0.005128160607677613,0.24234298310311264,-0.09026908213169162,0.050848752715730035,0.00610729542960298,0.007004432940178927,0.15883805235572343,0.0031356305379793025,0.0071128358949594985,-0.0031235416823059076,-0.0024927587988915266,0.08944728688660881,0.014198376523531687,0.0012131211524077793,-0.14443186620694157,0.17787569800922653,0.08269912119738695,-0.03242368506641778,0.13491761632489296,-0.0002502098159029618,0.0,0.0,-0.0012049940899307868,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.005774096306484411,0.015577521719042343,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0013370511967977792,0.0,0.0,0.01245301642199914,0.0,0.00722329467965329,0.0,-0.007034555969171449,0.0,-0.027307522263491927,-0.0,0.0
3613,-0.006473159141160835,-0.19480658622635824,-0.006686598676421621,-0.016348759424149515,-0.0008892462174731065,-0.006224116002544843,-0.006618252181488469,-0.0006590536576816463,0.015735459425476054,-0.015970629533449125,-0.0018258278387235844,-0.04571982705315591,-0.015613142831749223,0.0013526783645470316,0.12307107033636887,0.013175977630313074,-0.10741380109545662,-0.2640214355408306,-0.16324286174116884,-0.0002502098159029618,0.0,0.0,-0.0012049940899307868,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.005774096306484411,0.015577521719042343,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0013370511967977792,0.0,0.0,0.01245301642199914,0.0,0.00722329467965329,0.0,-0.007034555969171449,0.0,-0.027307522263491927,-0.0,0.0
1044,0.0017640922794236458,0.618696916962922,-0.09026908213169162,0.039780927186808694,0.011732980487788007,0.004492683140927578,0.15883805235572343,0.005236268505405131,-0.03225954447863138,-0.030662491519273145,0.001353661227279022,-0.03308916158980404,-0.002062452215712445,-0.003283722349857021,0.12141470540421218,0.34257541838814004,0.08269912119738695,0.4307718158824078,0.3585379748744393,-0.0002502098159029618,0.0,0.0,-0.0012049940899307868,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.005774096306484411,0.015577521719042343,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0013370511967977792,0.0,0.0,0.01245301642199914,0.0,0.00722329467965329,0.0,-0.007034555969171449,0.0,-0.027307522263491927,-0.0,0.0
1181,0.003493286279928021,0.46526031315853816,-0.04847784040405662,0.047686516850323935,0.007051375910631732,0.006502082980328657,0.07610990008711747,0.0027560141667775546,-0.006103296502386852,-0.0030329035360714338,-0.0008582873045769537,0.026874415776827146,0.02070270801922934,-0.0010611445268985564,-0.1096482026316504,0.34257541838814004,-0.012357339949034825,-0.03242368506641778,0.13491761632489296,-0.0002502098159029618,0.0,0.0,-0.0012049940899307868,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.005774096306484411,0.015577521719042343,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0013370511967977792,0.0,0.0,0.01245301642199914,0.0,0.00722329467965329,0.0,-0.007034555969171449,0.0,-0.027307522263491927,-0.0,0.0
4759,-0.008831150960030437,-0.3829835531562629,0.0768958847788484,0.057963783412893745,0.003947549671633098,0.008344032833112981,-0.0893464044500944,0.002741872742997629,-0.026346249586207782,0.017233608951163264,-0.0032184815064889576,-0.03938411504905531,0.03443407451014661,-0.0017537618019600315,0.08849445237759733,-0.1515237427486004,-0.10741380109545662,-0.03242368506641778,-0.16324286174116884,-0.0002502098159029618,0.0,0.0,-0.0012049940899307868,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.005774096306484411,0.015577521719042343,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0013370511967977792,0.0,0.0,0.01245301642199914,0.0,0.00722329467965329,0.0,-0.007034555969171449,0.0,-0.027307522263491927,-0.0,0.0
4109,0.005819838207879363,0.9400452758739901,-0.13206032385932664,0.050848752715730035,0.006469408490819489,0.005832283033861631,0.24156620462432934,0.004073162205024101,0.025847154997573913,-0.014150431247415994,-0.003962831022180523,0.009612934091370135,-0.026995722949220112,0.005947728793872786,-0.20157645636634844,0.34257541838814004,0.08269912119738695,-0.03242368506641778,0.2094577358414084,-0.0002502098159029618,0.0,0.0,-0.0012049940899307868,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.005774096306484411,0.015577521719042343,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0013370511967977792,0.0,0.0,0.01245301642199914,0.0,0.00722329467965329,0.0,-0.007034555969171449,0.0,-0.027307522263491927,-0.0,0.0
915,0.002455769879625396,-0.4032487649794835,-0.006686598676421621,0.007368009566396209,-0.00033314401631918413,0.00030643347550866423,-0.006618252181488469,0.0010838510176763322,-0.0005982227456587676,-0.016047327222965094,-0.0031557081763778053,0.019312434898268283,0.00552593452926815,0.0011304205822511852,-0.11296093249596385,-0.31622346312751387,-0.10741380109545662,-0.2640214355408306,-0.3123231007741997,-0.0002502098159029618,0.0,0.0,-0.0012049940899307868,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.005774096306484411,0.015577521719042343,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0013370511967977792,0.0,0.0,0.01245301642199914,0.0,0.00722329467965329,0.0,-0.007034555969171449,0.0,-0.027307522263491927,-0.0,0.0
1029,0.005819838207879363,0.9487303666553701,-0.13206032385932664,0.05875434237924527,0.009624965167134767,0.007506782900029196,0.24156620462432934,0.00354108683438476,0.04579259462599589,0.005936727119203152,0.0017251982689323949,0.009612934091370135,-0.005314617963561271,0.0009029940143205516,-0.20157645636634844,0.34257541838814004,0.17775558234380875,-0.03242368506641778,0.2839978553579239,-0.0002502098159029618,0.0,0.0,-0.0012049940899307868,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.005774096306484411,0.015577521719042343,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0013370511967977792,0.0,0.0,0.01245301642199914,0.0,0.00722329467965329,0.0,-0.007034555969171449,0.0,-0.027307522263491927,-0.0,0.0
4523,-0.0009082984486285712,0.5521112209723403,0.035104643051213386,0.03503757338869955,-0.0005142005469274382,0.004157783167694065,-0.006618252181488469,0.0005549411238928387,-0.005866403563189131,0.0020675824448495115,-0.002744857637872139,-0.01426276020253302,0.02243719641808205,0.00014214876887988642,-0.02351722615950091,0.34257541838814004,-0.10741380109545662,-0.2640214355408306,-0.014162622708137935,-0.0002502098159029618,0.0,0.0,-0.0012049940899307868,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.005774096306484411,0.015577521719042343,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0013370511967977792,0.0,0.0,0.01245301642199914,0.0,0.00722329467965329,0.0,-0.007034555969171449,0.0,-0.027307522263491927,-0.0,0.0
831,-0.008548191941766084,-0.1571711928403773,-0.006686598676421621,-0.12228366091525376,-0.026948454015732475,-0.02615066440993887,-0.006618252181488469,-0.01209712579535667,0.12292768719830244,-0.010524954422879294,-0.002213212583013025,-0.04925835013619098,-0.08011443016408429,0.011767781418643092,0.17690293063146234,0.013175977630313074,-0.10741380109545662,-0.4956191860152434,-0.2377829812576843,-0.0002502098159029618,0.0,0.0,-0.0012049940899307868,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.005774096306484411,0.015577521719042343,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0013370511967977792,0.0,0.0,0.01245301642199914,0.0,0.00722329467965329,0.0,-0.007034555969171449,0.0,-0.027307522263491927,-0.0,0.0
